strain_name,species,flavour1,flavour2,flavour3,prop1,val1,prop2,val2,prop3,val3,prop4,val4,prop5,val5,prop6,val6,prop7,val7,prop8,val8,prop9,val9,prop10,val10,prop11,val11,prop12,val12,prop13,val13,prop14,val14,prop15,val15
Harry Potter,hybrid,Sweet,Citrus,Lime,Relaxed,100,Creative,98.4375,Uplifted,67.1875,Happy,67.1875,Talkative,64.0625,Stress,100,Muscle Spasms,55.81395349,Pain,53.48837209,Inflammation,51.1627907,Cramps,48.8372093,Dry Mouth,100,Dry Eyes,9.090909091,Headache,4.545454545,,,,
Cirrus,sativa,Diesel,Earthy,Grape,Talkative,100,Uplifted,100,Happy,100,Focused,89.47368421,Euphoric,71.92982456,Headaches,100,Depression,62.85714286,Stress,62.85714286,Fatigue,54.28571429,Inflammation,54.28571429,Dry Eyes,100,Headache,100,Paranoid,100,Anxious,100,Dry Mouth,18.75
Dr. Quantum,hybrid,,,,Sleepy,100,Relaxed,100,Depression,100,Insomnia,100,Stress,100,Dry Mouth,100,,,,,,,,,,,,,,,,,,
Hash Plant,indica,Earthy,Spicy/Herbal,Pungent,Relaxed,100,Sleepy,66.47945034,Happy,62.55208841,Euphoric,54.42234703,Hungry,32.81256533,Stress,100,Insomnia,72.44692808,Pain,62.93276766,Depression,44.32791401,Muscle Spasms,38.99460178,Dry Mouth,100,Dizzy,75.41564987,Dry Eyes,59.39060825,Anxious,25.26512646,Headache,6.007252492
Ripped Bubba,hybrid,Sweet,Flowery,Spicy/Herbal,Happy,100,Relaxed,72.93233083,Uplifted,57.89473684,Creative,57.89473684,Focused,55.63909774,Stress,100,Pain,86.25,Depression,80,Fatigue,70,Nausea,68.75,Headache,100,Dry Mouth,33.33333333,Dry Eyes,25.92592593,Dizzy,9.259259259,Anxious,1.851851852
Purple Sour Diesel,hybrid,Grape,Diesel,Lemon,Happy,100,Euphoric,94.23403739,Relaxed,90.07849802,Uplifted,78.52634134,Creative,56.49834102,Stress,100,Pain,91.93158759,Depression,82.51038748,Nausea,68.30611653,Insomnia,62.99159339,Dry Mouth,100,Dry Eyes,75.0285621,Headache,41.97812959,Paranoid,13.62820304,Dizzy,10.36396279
Acid Dough,sativa,Earthy,Woody,Diesel,Happy,100,Talkative,66.66666667,Creative,66.66666667,Energetic,66.66666667,Euphoric,66.66666667,Stress,100,Cramps,50,Depression,50,Eye Pressure,50,Fatigue,50,Dry Mouth,100,Dry Eyes,50,Paranoid,50,,,,
Hawaiian Delight,indica,Diesel,Flowery,Earthy,Uplifted,100,Happy,100,Relaxed,100,Euphoric,85.71428571,Creative,57.14285714,Pain,100,Stress,100,Nausea,80,Depression,60,Fatigue,60,Dry Mouth,100,Dry Eyes,50,Headache,50,Paranoid,50,Dizzy,25
L.A.K. Federal Reserve,indica,Pine,Woody,Chestnut,Relaxed,100,Sleepy,96.15384615,Tingly,96.15384615,Hungry,96.15384615,Euphoric,92.30769231,Lack of Appetite,100,Nausea,100,Pain,100,Stress,100,Muscle Spasms,97.95918367,Dry Mouth,100,,,,,,,,
Moondance,sativa,Lavender,Pine,,Energetic,100,Creative,42.85714286,Euphoric,28.57142857,Focused,28.57142857,Uplifted,14.28571429,Pain,100,Inflammation,37.5,Headaches,25,Muscle Spasms,25,Stress,25,Dry Eyes,100,Anxious,100,,,,,,
Orange Kush,indica,Orange,Citrus,Earthy,Relaxed,100,Sleepy,73.54273247,Euphoric,60.69214565,Happy,59.26892116,Hungry,56.82816732,Insomnia,100,Pain,99.34425127,Stress,98.70980036,Depression,76.99274753,Headaches,64.38555783,Dry Mouth,100,Dry Eyes,60.29304127,Anxious,43.34788275,Paranoid,31.98952085,Headache,23.98020209
Sunset Haze,hybrid,Sweet,Citrus,Flowery,Relaxed,100,Creative,93.75,Aroused,75,Sleepy,68.75,Uplifted,37.5,Stress,100,Depression,92.30769231,Insomnia,92.30769231,Lack of Appetite,84.61538462,Pain,23.07692308,Dry Mouth,100,Dry Eyes,50,,,,,,
Blue Trainwreck,hybrid,Blueberry,Earthy,Sweet,Happy,100,Uplifted,69.9669967,Relaxed,69.9669967,Energetic,50,Focused,37.45874587,Stress,100,Depression,73.76237624,Pain,43.56435644,Headaches,27.47524752,Insomnia,27.47524752,Dry Mouth,100,Dry Eyes,97.46192893,Anxious,38.5786802,Dizzy,7.614213198,Paranoid,2.538071066
South Asian Sativa,sativa,Diesel,Earthy,,Energetic,100,Euphoric,100,Giggly,100,Happy,100,,,,,,,,,,,,,,,,,,,,,,
The Truth,hybrid,Citrus,Earthy,Sweet,Euphoric,100,Creative,90.3149775,Talkative,79.83715449,Energetic,79.47289479,Giggly,77.28733662,Nausea,100,Depression,97.91220557,Lack of Appetite,94.72698073,Pain,27.91755889,Stress,21.73447537,Dry Mouth,100,Dry Eyes,82.88973384,Dizzy,72.71863118,Anxious,72.71863118,Headache,0.403992395
Cookies and Cream,hybrid,Sweet,Vanilla,Earthy,Relaxed,100,Euphoric,77.13504503,Happy,73.37150323,Uplifted,54.98788154,Creative,41.73281552,Stress,100,Depression,68.01650427,Pain,62.24204686,Insomnia,45.45100894,Headaches,39.53086764,Dry Mouth,100,Dry Eyes,63.93558999,Dizzy,25.49270661,Headache,9.909005326,Anxious,7.789036638
Oregon Pineapple,hybrid,Pineapple,Earthy,Sweet,Happy,100,Uplifted,88.23529412,Relaxed,88.23529412,Euphoric,64.70588235,Energetic,58.82352941,Stress,100,Depression,81.81818182,Fatigue,27.27272727,Muscle Spasms,18.18181818,Nausea,18.18181818,Dry Mouth,100,Dry Eyes,33.33333333,,,,,,
Galactic Jack,sativa,Flowery,Sweet,Citrus,Euphoric,100,Energetic,77.93791574,Happy,66.01995565,Relaxed,64.24611973,Uplifted,58.81374723,Stress,100,Headaches,75.03692762,Depression,46.08567208,Eye Pressure,35.59822747,Fatigue,26.88330871,Dry Mouth,100,Dry Eyes,80.97560976,Headache,55.6097561,Anxious,55.6097561,Dizzy,52.43902439
Afrikaner,sativa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pineapple Diesel,hybrid,Diesel,Sweet,Pungent,Talkative,100,Giggly,100,Energetic,95.56156969,Creative,88.09201624,Uplifted,28.09201624,Pain,100,Inflammation,95.67099567,Stress,7.792207792,Depression,4.329004329,Fatigue,2.813852814,Dry Mouth,100,Dry Eyes,48.89937107,Dizzy,14.3081761,Paranoid,7.704402516,Anxious,4.402515723
Tonics Web,indica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepalese,sativa,Earthy,Flowery,Spicy/Herbal,Happy,100,Euphoric,95.75471698,Uplifted,91.98113208,Energetic,79.24528302,Creative,72.16981132,Depression,100,Pain,89.8989899,Headaches,83.83838384,Insomnia,79.7979798,Muscle Spasms,65.65656566,Dry Eyes,100,Dry Mouth,44.11764706,Anxious,26.47058824,Dizzy,11.76470588,Headache,2.941176471
Great White Shark,sativa,Earthy,Citrus,Pungent,Euphoric,100,Happy,98.34658553,Relaxed,78.98211671,Focused,72.11872434,Creative,68.29520338,Pain,100,Stress,91.99747067,Depression,79.017073,Muscle Spasms,56.73434975,Inflammation,56.63598679,Dry Eyes,100,Dizzy,73.12473975,Dry Mouth,61.10879781,Headache,47.95074654,Anxious,4.895604069
Harmonia,indica,Earthy,Woody,Sage,Happy,100,Tingly,82.0754717,Euphoric,66.98113208,Sleepy,66.03773585,Relaxed,25.47169811,Eye Pressure,100,Pain,38.88888889,Stress,27.77777778,Headaches,22.22222222,Inflammation,22.22222222,Dizzy,100,Dry Eyes,100,Dry Mouth,15.78947368,,,,
White Rhino,indica,Woody,Earthy,Pungent,Relaxed,100,Sleepy,68.23274335,Happy,66.80716002,Hungry,56.26718058,Euphoric,50.22954824,Stress,100,Pain,89.6392286,Headaches,88.54025768,Insomnia,79.95935102,Muscle Spasms,71.29153964,Dry Mouth,100,Dry Eyes,75.82122421,Anxious,39.3296491,Dizzy,29.43262771,Headache,27.39595545
Pearl Scout Cookies,hybrid,Citrus,Lemon,Sweet,Uplifted,100,Euphoric,87.92775665,Energetic,57.31939163,Giggly,55.41825095,Creative,52.28136882,Stress,100,Depression,36.1003861,Pain,22.00772201,Headaches,12.54826255,Inflammation,11.003861,Dry Mouth,100,Paranoid,29.34131737,Anxious,29.34131737,Dry Eyes,11.9760479,Dizzy,2.395209581
Jack Frost,hybrid,Citrus,Pine,Earthy,Happy,100,Euphoric,91.85977316,Uplifted,86.82566046,Energetic,74.55739777,Creative,67.85222611,Stress,100,Depression,67.24707153,Fatigue,64.47031445,Pain,44.21488063,Lack of Appetite,38.26051131,Dry Mouth,100,Dry Eyes,79.49692536,Dizzy,15.48352673,Paranoid,14.44602174,Headache,3.216265443
Serious Happiness,hybrid,Pepper,Sweet,Spicy/Herbal,Happy,100,Euphoric,83.67346939,Relaxed,74.48979592,Uplifted,65.30612245,Talkative,50,Depression,100,Stress,87.69230769,Lack of Appetite,36.92307692,Pain,36.92307692,Insomnia,26.15384615,Dry Mouth,100,Dry Eyes,85.71428571,Paranoid,42.85714286,Anxious,28.57142857,Dizzy,14.28571429
Weebe’s World,indica,,,,Tingly,100,Uplifted,100,Creative,100,Euphoric,100,Focused,100,Eye Pressure,100,Headaches,100,Lack of Appetite,100,Dizzy,100,Dry Eyes,100,Headache,100,Paranoid,100,,,,,,
Katsu Bubba Kush,indica,Berry,Flowery,Tropical,Relaxed,100,Happy,75.5243627,Euphoric,67.5002689,Hungry,39.15241476,Sleepy,38.10368936,Pain,100,Insomnia,72.16616743,Stress,65.55257764,Depression,65.30821378,Muscle Spasms,58.62367965,Dry Mouth,100,Dry Eyes,23.39511754,Dizzy,11.52802893,Headache,7.798372514,Paranoid,7.798372514
Gravity,indica,Sweet,Citrus,Rose,Euphoric,100,Happy,99.39759036,Uplifted,97.59036145,Sleepy,96.38554217,Hungry,96.38554217,Stress,100,Pain,93.33333333,Depression,26.66666667,Insomnia,26.66666667,Muscle Spasms,26.66666667,Dry Mouth,100,Dry Eyes,4.968944099,Dizzy,1.863354037,Headache,1.242236025,Paranoid,0.621118012
Haze,sativa,Earthy,Sweet,Pungent,Energetic,100,Happy,94.60885012,Euphoric,93.96980118,Uplifted,89.43633424,Creative,76.41212508,Depression,100,Stress,93.85796545,Lack of Appetite,85.65591684,Insomnia,58.99925885,Fatigue,50.49885027,Dry Mouth,100,Dry Eyes,47.66458173,Dizzy,45.31459744,Paranoid,15.40113672,Anxious,15.05155228
Little Dragon,hybrid,Mint,Pungent,Woody,Relaxed,100,Tingly,78.125,Sleepy,75,Euphoric,25,Happy,25,Fatigue,100,Muscle Spasms,100,Headaches,96.15384615,Inflammation,7.692307692,Pain,7.692307692,,,,,,,,,,
Chocolate Chunk,indica,Earthy,Coffee,Woody,Sleepy,100,Relaxed,73.87751516,Euphoric,32.69484228,Hungry,28.04674457,Happy,21.00869871,Insomnia,100,Pain,75.49284364,Stress,56.04914934,Lack of Appetite,45.93572779,Depression,23.06238185,Dry Mouth,100,Dizzy,69.45090324,Dry Eyes,46.84314076,Paranoid,42.90824539,Anxious,35.21731354
Apollo 13,hybrid,Pungent,Earthy,Woody,Uplifted,100,Energetic,73.03573732,Euphoric,68.37827377,Creative,60.88246678,Focused,55.7347439,Stress,100,Fatigue,83.83838384,Depression,79.46127946,Pain,68.68686869,Headaches,41.07744108,Paranoid,100,Dizzy,98.13581891,Dry Mouth,89.01464714,Dry Eyes,35.88548602,Headache,13.98135819
Purple Monkey Balls,indica,Grape,Skunk,Earthy,Relaxed,100,Euphoric,64.88970588,Happy,60.66176471,Uplifted,40.625,Sleepy,38.97058824,Stress,100,Pain,78.44036697,Insomnia,74.31192661,Lack of Appetite,54.12844037,Depression,52.75229358,Dry Mouth,100,Dry Eyes,18.79432624,Paranoid,14.89361702,Anxious,14.89361702,Headache,1.063829787
Stardawg,hybrid,Diesel,Earthy,Pine,Happy,100,Uplifted,86.34495816,Relaxed,77.60819337,Euphoric,57.2336282,Creative,56.15722008,Stress,100,Depression,79.38710585,Pain,64.37560227,Fatigue,56.16587287,Nausea,22.03846207,Dry Mouth,100,Dry Eyes,20.70478999,Dizzy,13.97626528,Anxious,10.42888134,Paranoid,8.783985342
Maui Pineapple Chunk,hybrid,Tropical,Flowery,Pungent,Creative,100,Euphoric,93.75,Uplifted,87.5,Aroused,81.25,Energetic,81.25,Stress,100,Depression,66.66666667,Muscle Spasms,66.66666667,Pain,66.66666667,Insomnia,33.33333333,Dry Mouth,100,,,,,,,,
Flo Walker,hybrid,Mango,Citrus,Lemon,Happy,100,Relaxed,88.88888889,Creative,22.22222222,Energetic,22.22222222,Euphoric,22.22222222,Depression,100,Headaches,100,Stress,100,Dry Mouth,100,Paranoid,100,,,,,,,,,,
Green Avenger,hybrid,Mint,Honey,Menthol,Energetic,100,Happy,100,Uplifted,88.88888889,Creative,88.88888889,Euphoric,88.88888889,Depression,100,Fatigue,100,Stress,100,Dry Mouth,100,Dry Eyes,14.28571429,Headache,14.28571429,,,,,,,,
Sweet Hawaiian Tangie Banana,hybrid,Ammonia,Sweet,Citrus,Happy,100,Relaxed,100,Eye Pressure,100,Headaches,100,Insomnia,100,Lack of Appetite,100,Pain,100,,,,,,,,,,,,,,,,
Black Cherry Cheesecake,hybrid,Pungent,Sweet,Earthy,Relaxed,100,Uplifted,96.91119691,Happy,63.32046332,Hungry,53.66795367,Energetic,51.73745174,Headaches,100,Stress,66.27906977,Depression,61.62790698,Lack of Appetite,61.62790698,Fatigue,34.88372093,Dizzy,100,Dry Mouth,93.75,Dry Eyes,88.39285714,Headache,0.892857143,Paranoid,0.892857143
Sunburn,sativa,Citrus,Lemon,Sweet,Focused,100,Euphoric,73.84987893,Uplifted,66.82808717,Energetic,65.61743341,Tingly,57.14285714,Pain,100,Depression,92.33716475,Inflammation,79.31034483,Fatigue,77.39463602,Stress,77.39463602,Dry Eyes,100,Dry Mouth,29.62962963,Headache,4.62962963,Dizzy,2.314814815,,
Sour Amnesia,sativa,Diesel,Sweet,Earthy,Happy,100,Relaxed,96.28387818,Euphoric,91.75747415,Uplifted,59.51383068,Energetic,57.36239173,Stress,100,Pain,93.76854599,Insomnia,64.6884273,Depression,41.54302671,Fatigue,29.08011869,Dry Mouth,100,Dry Eyes,26.33118783,Anxious,1.63838502,Paranoid,0.81919251,Dizzy,0.409596255
Gog & Magog,indica,Pungent,Sweet,Flowery,Sleepy,100,Euphoric,98.18181818,Happy,98.18181818,Relaxed,98.18181818,Hungry,5.454545455,Insomnia,100,Lack of Appetite,100,Pain,100,Stress,98.14814815,Inflammation,96.2962963,Dry Mouth,100,Dizzy,50,,,,,,
Gigabud,indica,Apricot,Earthy,Woody,Relaxed,100,Happy,95.65088757,Sleepy,89.70414201,Euphoric,88.46153846,Giggly,64.40828402,Depression,100,Insomnia,85.80833943,Stress,73.4211168,Pain,49.18312607,Muscle Spasms,44.0624238,Dry Mouth,100,Dry Eyes,90.2173913,Paranoid,82.06521739,Dizzy,4.891304348,Headache,3.260869565
Gupta Kush,hybrid,Earthy,Woody,Flowery,Relaxed,100,Focused,62.12121212,Sleepy,34.84848485,Happy,34.84848485,Talkative,31.81818182,Stress,100,Depression,66.66666667,Lack of Appetite,66.66666667,Pain,66.66666667,Insomnia,33.33333333,,,,,,,,,,
Critical Jack,hybrid,Citrus,Woody,Pine,Uplifted,100,Happy,86.29238061,Focused,81.80823915,Energetic,80.53226394,Relaxed,61.42909223,Depression,100,Stress,87.62295082,Fatigue,62.04918033,Muscle Spasms,27.45901639,Lack of Appetite,26.96721311,Dry Mouth,100,Dry Eyes,37.61904762,Anxious,7.142857143,Dizzy,5.952380952,Headache,5.952380952
OCA Gold,indica,Spicy/Herbal,Flowery,Earthy,Sleepy,100,Relaxed,100,Tingly,85.71428571,Euphoric,14.28571429,Happy,14.28571429,Stress,100,Insomnia,66.66666667,Pain,66.66666667,Depression,33.33333333,Fatigue,33.33333333,,,,,,,,,,
K2,hybrid,Woody,Earthy,Pine,Relaxed,100,Happy,16.51376147,Hungry,8.256880734,Energetic,5.504587156,Euphoric,5.504587156,Stress,100,Pain,95.55555556,Depression,17.77777778,Insomnia,13.33333333,Nausea,8.888888889,Dry Mouth,100,Dry Eyes,14.28571429,Dizzy,7.142857143,Anxious,7.142857143,Headache,2.380952381
Monster OG,hybrid,Earthy,Citrus,Lemon,Hungry,100,Relaxed,96.96412144,Uplifted,90.70837167,Happy,90.24839006,Euphoric,89.0524379,Insomnia,100,Depression,95.28301887,Cramps,90.56603774,Muscle Spasms,90.56603774,Pain,78.30188679,Dry Mouth,100,Dry Eyes,71.59090909,Dizzy,54.54545455,Paranoid,54.54545455,Headache,5.681818182
Mangolicious,indica,Sweet,Tropical,Pineapple,Relaxed,100,Focused,65.51724138,Tingly,44.82758621,Euphoric,44.82758621,Uplifted,41.37931034,Depression,100,Pain,100,Cramps,50,Fatigue,50,Muscle Spasms,50,Dry Eyes,100,,,,,,,,
Glad Max,hybrid,Earthy,Sweet,Flowery,Euphoric,100,Relaxed,94.11764706,Uplifted,82.35294118,Happy,76.47058824,Creative,70.58823529,Stress,100,Pain,92.30769231,Depression,69.23076923,Fatigue,46.15384615,Inflammation,46.15384615,Dry Mouth,100,Dry Eyes,50,Dizzy,16.66666667,Paranoid,16.66666667,,
Star 47,hybrid,Earthy,Spicy/Herbal,Berry,Happy,100,Sleepy,66.66666667,Euphoric,66.66666667,Giggly,66.66666667,Relaxed,66.66666667,Depression,100,Insomnia,100,Lack of Appetite,50,Nausea,50,Stress,50,Dizzy,100,,,,,,,,
Critical Plus 2.0,indica,Lemon,Earthy,Spicy/Herbal,Happy,100,Relaxed,93.40206186,Euphoric,24.74226804,Aroused,15.87628866,Sleepy,15.87628866,Stress,100,Depression,66.66666667,Lack of Appetite,66.66666667,Pain,66.66666667,Fatigue,42.15686275,Dry Eyes,100,Dry Mouth,8.333333333,Paranoid,4.411764706,Anxious,4.411764706,,
Narnia,sativa,Sweet,Earthy,Citrus,Euphoric,100,Happy,97.96322489,Relaxed,90.97595474,Uplifted,84.17727487,Creative,78.37812353,Stress,100,Depression,97.82151729,Fatigue,41.90712784,Nausea,32.21861265,Pain,23.7339958,Dry Mouth,100,Dry Eyes,85.65770863,Dizzy,84.04526167,Anxious,12.72984441,Paranoid,4.837340877
White Dream,hybrid,Earthy,Citrus,Flowery,Uplifted,100,Euphoric,90.87591241,Happy,87.59124088,Focused,67.88321168,Creative,64.23357664,Depression,100,Stress,100,Pain,64.47368421,Headaches,61.18421053,Nausea,35.52631579,Dry Mouth,100,Anxious,77.27272727,Dry Eyes,44.31818182,Dizzy,38.63636364,Headache,38.63636364
Tardis,sativa,Sweet,Earthy,Diesel,Sleepy,100,Talkative,82.5,Energetic,72.5,Creative,65,Happy,55,Depression,100,Stress,63.63636364,Lack of Appetite,54.54545455,Fatigue,50,Headaches,36.36363636,Anxious,100,Dry Mouth,37.5,Paranoid,20,Dry Eyes,10,,
Doug's Varin,sativa,Lemon,Pine,Woody,Energetic,100,Focused,100,Euphoric,98.82747069,Uplifted,94.639866,Creative,89.27973199,Fatigue,100,Stress,94.01709402,Depression,66.66666667,Inflammation,66.66666667,Nausea,60.68376068,,,,,,,,,,
Sugar Shack,hybrid,Sweet,Woody,Earthy,Happy,100,Sleepy,79.07246377,Relaxed,68.57971014,Uplifted,68.05797101,Euphoric,50.43478261,Stress,100,Insomnia,73.77495463,Fatigue,51.63339383,Pain,50,Depression,48.63883848,Dry Mouth,100,Dry Eyes,97.79816514,Dizzy,2.201834862,Paranoid,0.550458716,,
Aspen OG,hybrid,Spicy/Herbal,Blueberry,Earthy,Focused,100,Happy,100,Relaxed,100,Talkative,66.66666667,Uplifted,66.66666667,Headaches,100,Stress,100,Depression,50,Fatigue,50,Inflammation,50,,,,,,,,,,
Cherry Skunk,hybrid,Earthy,Sweet,Skunk,Happy,100,Relaxed,94.64285714,Uplifted,87.5,Hungry,79.46428571,Aroused,77.67857143,Depression,100,Stress,100,Lack of Appetite,77.96610169,Pain,37.28813559,Fatigue,18.6440678,Dry Mouth,100,Dry Eyes,52.3255814,Dizzy,5.813953488,Anxious,3.488372093,Paranoid,1.162790698
Blue Rhino,hybrid,Blueberry,Earthy,Berry,Relaxed,100,Uplifted,91.13213124,Focused,87.1415903,Euphoric,80.87496305,Sleepy,65.7700266,Pain,100,Stress,86.66420392,Depression,81.12301441,Lack of Appetite,73.91946805,Nausea,65.01662357,Headache,100,Dry Mouth,38.74007937,Dry Eyes,15.625,Dizzy,7.44047619,Paranoid,5.208333333
Supa Don,sativa,Spicy/Herbal,Sweet,Apricot,Uplifted,100,Creative,100,Energetic,100,Focused,100,Happy,75,Fatigue,100,Depression,50,Headaches,50,Insomnia,50,Stress,50,Dry Mouth,100,Dry Eyes,50,Paranoid,50,,,,
Elmer's Glue,hybrid,Pine,Earthy,Pungent,Relaxed,100,Happy,46.02076125,Focused,35.64013841,Hungry,33.9100346,Sleepy,28.71972318,Pain,100,Muscle Spasms,79.67479675,Inflammation,75.6097561,Lack of Appetite,71.54471545,Stress,32.5203252,Dry Mouth,100,Dry Eyes,54.14364641,Anxious,37.56906077,,,,
Cherry Bomb,hybrid,Sweet,Berry,Tropical,Happy,100,Focused,87.69657724,Creative,78.74653099,Relaxed,61.28584644,Energetic,59.52821462,Stress,100,Pain,89.10133843,Headaches,87.61950287,Lack of Appetite,69.12045889,Depression,68.78585086,Dry Mouth,100,Headache,44.41934026,Dry Eyes,38.95164934,Dizzy,24.35607772,Anxious,20.92182558
Diamond Valley Kush,hybrid,Earthy,Spicy/Herbal,Pungent,Happy,100,Creative,91.30434783,Focused,91.30434783,Talkative,78.26086957,Relaxed,21.73913043,Depression,100,Fatigue,15.78947368,Eye Pressure,10.52631579,Stress,10.52631579,Cramps,5.263157895,Dry Mouth,100,Anxious,100,Dry Eyes,10.52631579,,,,
Fruit Spirit,hybrid,Sweet,Spicy/Herbal,Blueberry,Happy,100,Euphoric,90.90909091,Relaxed,85.45454545,Talkative,74.54545455,Creative,56.36363636,Pain,100,Stress,84.61538462,Lack of Appetite,76.92307692,Depression,71.79487179,Insomnia,66.66666667,Dry Mouth,100,Dry Eyes,89.74358974,Paranoid,30.76923077,Anxious,25.64102564,Headache,5.128205128
Copper Kush,indica,Earthy,Pungent,Woody,Relaxed,100,Sleepy,75,Happy,50,Tingly,42.85714286,Giggly,39.28571429,Cramps,100,Insomnia,91.66666667,Depression,16.66666667,Headaches,16.66666667,Pain,16.66666667,Dry Eyes,100,Dry Mouth,100,Dizzy,10,,,,
Skunk Dawg,sativa,Skunk,Earthy,Diesel,Uplifted,100,Relaxed,100,Focused,98.63013699,Happy,19.17808219,Euphoric,15.06849315,Depression,100,Stress,10.9375,Headaches,7.8125,Pain,7.8125,Inflammation,6.25,Dry Mouth,100,Dry Eyes,4.47761194,Paranoid,2.985074627,Anxious,2.985074627,Dizzy,1.492537313
Purple Raine,hybrid,Grape,Sweet,Pine,Happy,100,Giggly,70.45454545,Relaxed,69.31818182,Sleepy,65.90909091,Talkative,51.13636364,Stress,100,Lack of Appetite,85.71428571,Depression,80.95238095,Fatigue,80.95238095,Pain,57.14285714,Dry Mouth,100,Dry Eyes,66.66666667,Dizzy,33.33333333,Headache,33.33333333,Anxious,33.33333333
Black Mamba,indica,Grape,Pungent,Earthy,Relaxed,100,Euphoric,93.14877597,Sleepy,79.51808482,Uplifted,60.03764637,Happy,55.96934212,Stress,100,Insomnia,94.79354916,Depression,71.80427187,Lack of Appetite,61.07295916,Pain,56.04378582,Dry Eyes,100,Dry Mouth,98.00527637,Dizzy,54.70046973,Paranoid,48.53934753,Headache,44.75902452
Nina Limone,sativa,Lime,Lemon,Citrus,Happy,100,Uplifted,97.77777778,Energetic,97.77777778,Relaxed,60,Giggly,57.77777778,Depression,100,Stress,97.05882353,Pain,26.47058824,Cramps,23.52941176,Muscle Spasms,23.52941176,Dry Mouth,100,Anxious,100,,,,,,
Rare Dankness #1,indica,Berry,Pungent,Grape,Relaxed,100,Happy,72.26277372,Sleepy,45.62043796,Hungry,26.64233577,Giggly,25.54744526,Pain,100,Muscle Spasms,76.6798419,Stress,58.89328063,Insomnia,56.12648221,Inflammation,46.64031621,Dry Mouth,100,Dry Eyes,59.77011494,Paranoid,16.09195402,Dizzy,8.045977011,Anxious,8.045977011
Bright Fire,indica,Pungent,Earthy,Citrus,Hungry,100,Relaxed,100,Uplifted,75,Euphoric,75,Creative,50,Depression,100,Stress,100,Insomnia,66.66666667,Muscle Spasms,66.66666667,Nausea,66.66666667,Dry Mouth,100,Dizzy,25,Dry Eyes,25,,,,
God's Treat,indica,Blueberry,Berry,Flowery,Relaxed,100,Uplifted,83.33333333,Euphoric,83.33333333,Happy,83.33333333,Talkative,66.66666667,Inflammation,100,Muscle Spasms,100,Pain,100,Stress,100,Depression,66.66666667,Dizzy,100,Dry Mouth,100,,,,,,
Ape Shit,hybrid,Sweet,Grape,Blueberry,Giggly,100,Happy,100,Uplifted,96.875,Talkative,90.625,Relaxed,15.625,Depression,100,Eye Pressure,66.66666667,Insomnia,66.66666667,Stress,66.66666667,Headaches,33.33333333,Dry Mouth,100,Dry Eyes,50,,,,,,
Haleigh’s Hope,hybrid,Pine,Sweet,Woody,Relaxed,100,Uplifted,64.44444444,Focused,53.05555556,Happy,31.66666667,Creative,22.5,Stress,100,Pain,90.82278481,Inflammation,67.08860759,Depression,45.88607595,Headaches,45.88607595,Dry Eyes,100,Dry Mouth,93.10344828,,,,,,
Fire Haze,sativa,Woody,Earthy,Nutty,Happy,100,Talkative,92.78846154,Giggly,92.78846154,Energetic,66.82692308,Hungry,62.98076923,Stress,100,Depression,90.36144578,Pain,12.04819277,Fatigue,7.228915663,Insomnia,6.024096386,Dry Mouth,100,Dry Eyes,65,Paranoid,40,Dizzy,25,Anxious,10
XXX 420,indica,Tropical,Skunk,Sweet,Happy,100,Energetic,95.89041096,Euphoric,95.89041096,Aroused,91.78082192,Creative,91.78082192,Eye Pressure,100,Depression,95.52238806,Stress,95.52238806,Insomnia,86.56716418,Pain,82.08955224,Dry Eyes,100,Dry Mouth,75,Paranoid,25,,,,
Haze Mist,sativa,,,,Energetic,100,Focused,100,Happy,100,Hungry,100,Insomnia,100,Nausea,100,Stress,100,Dry Eyes,100,Dry Mouth,100,,,,,,,,,,,,
The Brotherhood,hybrid,Earthy,Citrus,Flowery,Relaxed,100,Hungry,96.42857143,Aroused,89.28571429,Tingly,89.28571429,Happy,28.57142857,Cramps,100,Stress,29.16666667,Depression,12.5,Fatigue,4.166666667,Pain,4.166666667,Dry Mouth,100,Dry Eyes,3.448275862,,,,,,
Head Trip,hybrid,Earthy,Pine,Coffee,Relaxed,100,Happy,77.77777778,Uplifted,55.55555556,Focused,55.55555556,Euphoric,44.44444444,Stress,100,Headaches,77.77777778,Pain,77.77777778,Depression,66.66666667,Insomnia,55.55555556,Dry Eyes,100,Dry Mouth,100,Paranoid,50,,,,
Sweet Harlem Diesel,hybrid,Pear,Diesel,Sweet,Aroused,100,Talkative,100,Uplifted,100,Creative,100,Euphoric,100,Depression,100,Fatigue,100,Inflammation,100,Lack of Appetite,100,Pain,100,Dry Eyes,100,,,,,,,,
Pure Power Plant,hybrid,Earthy,Pungent,Sweet,Focused,100,Hungry,99.1046832,Talkative,29.4077135,Happy,25.48209366,Uplifted,23.89807163,Stress,100,Depression,25.36585366,Pain,21.46341463,Insomnia,11.70731707,Fatigue,11.2195122,Headache,100,Dry Mouth,20.80052493,Dry Eyes,20.34120735,Paranoid,1.706036745,Dizzy,1.115485564
